new entry "Paitm_Mimir"
type "Character"
data "Level" "3"
data "Strength" "10"
data "Dexterity" "10"
data "Constitution" "10"
data "Intelligence" "10"
data "Wisdom" "10"
data "Charisma" "10"
data "Armor" "22"
data "Vitality" "25"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Sight" "300"
data "Hearing" "300"
data "FOV" "90"
data "Weight" "5"
data "GameSize" "Small"
data "SoundSize" "Tiny"
data "StepsType" "Bone"
data "Flags" "Floating;BackstabImmunity;IgnoreClouds;Unbreakable;SlippingImmunity;InvisibilityImmunity;Unstorable;Unrepairable;FloatingWhileMoving"
data "DefaultBoosts" ""
data "SpellCastingAbility" "None"
data "UnarmedAttackAbility" "None"
data "UnarmedRangedAttackAbility" "None"
data "ActionResources" ""
data "Passives" "DarknessRules"
data "BludgeoningResistance" "Immune"
data "SlashingResistance" "Immune"
data "PiercingResistance" "Immune"
data "AcidResistance" "Immune"
data "ColdResistance" "Immune"
data "FireResistance" "Immune"
data "ForceResistance" "Immune"
data "LightningResistance" "Immune"
data "NecroticResistance" "Immune"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Immune"
data "ThunderResistance" "Immune"
data "MinimumDetectionRange" "2"
data "DarkvisionRange" "12"
data "FallingHitEffect" "VFX_Combat_Bludgeoning_Damage_Blood_01"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"
data "DifficultyStatuses" "STATUS_EASY: HEALTHREDUCTION_EASYMODE; STATUS_HARD: HEALTHBOOST_HARDCORE"

