new entry "Teleportation_Paitm_PortalCracker"
type "SpellData"
data "SpellType" "Teleportation"
data "Level" "4"
data "SpellSchool" "Conjuration"
data "Cooldown" "OncePerShortRest"
data "TargetRadius" "18"
data "AreaRadius" "18"
data "LineOfSightFlags" "AddSourceHeight"
data "DeathType" "Lifetime"
data "SpellProperties" "GROUND:Summon(43e16983-e277-4b29-a122-e84326b45402,10,,PaitmPortalGate2)"
data "TargetConditions" "CanStand('43e16983-e277-4b29-a122-e84326b45402') and not Character()"
data "OriginSpellProperties" "GROUND:Summon(43e16983-e277-4b29-a122-e84326b45402,10,,,PaitmPortalGate1)"
data "OriginTargetConditions" "CanStand('43e16983-e277-4b29-a122-e84326b45402') and not Character() and not Item()"
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "Icon" "Plns_Spell_PortalCracker"
data "DisplayName" "h1a4889b6gba5dg1e02gbb15g9aa6c8e7b7eb;2"
data "Description" "h8a984c65g71d0g34e3g4613gfd46275b7fe6;4"
data "CastSound" "Spell_Cast_Utility_ArcaneLock_L1to3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;7abe77ed-9c77-4eac-872c-5b8caed070b6,,;cb171bda-f065-4520-b470-e447f678ba1f,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;HasHighGroundRangeExtension;IsSpell;CannotTargetItems;CannotTargetCharacter;RangeIgnoreVerticalThreshold"
data "VerbalIntent" "Utility"
data "SpellStyleGroup" "Intent"
data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
data "CastEffect" "518bc78f-c169-43ba-b951-977d75429199"
data "IgnoreTeleport" "Yes"

